"Region-2
County-3
District-4",Type,School,FacilityName,Address,City,Zip,GradeServed,lat,lng
050160340,04,2008,Westbrook Elementary School,1333 Greenwood Rd,Glenview,60026 2502,P-2,42.08226,-87.839335
050160350,02,1001,Central School,620 Greenwood Ave,Glencoe,60022 1650,5-8,42.132303,-87.760148
050160350,02,2001,West School,1010 Forestway Dr,Glencoe,60022 1049,3-4,42.136711,-87.774976
050160350,02,2002,South Elem School,266 Linden Ave,Glencoe,60022 2165,P-2,42.12405,-87.750408
050160360,02,1005,Carleton W Washburne School,515 Hibbard Rd,Winnetka,60093 1617,7-8,42.105166,-87.751317
050160360,02,2001,Crow Island Elem School,1112 Willow Rd,Winnetka,60093 3645,K-4,42.101265,-87.746009
050160360,02,2002,Greeley Elem School,275 Fairview Ave,Winnetka,60093 4208,K-4,42.098639,-87.721669
050160360,02,2003,Hubbard Woods Elem School,1110 Chatfield Rd,Winnetka,60093 1809,K-4,42.114825,-87.746477
050160360,02,2004,The Skokie School,520 Glendale Ave,Winnetka,60093 2135,5-6,42.105747,-87.746164
050160370,02,1001,Marie Murphy School,2921 Illinois Rd,Wilmette,60091 1103,"P,6-8",42.084902,-87.74972
050160370,02,2003,Avoca West Elem School,235 Beech Dr,Glenview,60025 3274,K-5,42.076792,-87.766561
050160380,02,2001,The Joseph Sears School,542 Abbotsford Rd,Kenilworth,60043 1161,P-8,42.089528,-87.716881
050160390,02,1008,Wilmette Junior High School,620 Locust Rd,Wilmette,60091 2200,7-8,42.074016,-87.741962
050160390,02,2002,Central Elem School,910 Central Ave,Wilmette,60091 2608,K-4,42.076727,-87.701157
050160390,02,2003,Harper Elem School,1101 Dartmouth St,Wilmette,60091 1362,K-4,42.083941,-87.735863
050160390,02,2005,McKenzie Elem School,649 Prairie Ave,Wilmette,60091 2531,K-4,42.074212,-87.712084
050160390,02,2006,Romona Elem School,600 Romona Rd,Wilmette,60091 2125,P-4,42.074811,-87.746967
050160390,02,2007,Highcrest Middle School,569 Hunter Rd,Wilmette,60091 2209,5-6,42.074979,-87.732304
050160540,04,1001,Jane Addams JHS,700 S Springinsguth Rd,Schaumburg,60193 2445,7-8,42.013679,-88.119216
050160540,04,1012,Robert Frost JHS,320 W Wise Rd,Schaumburg,60193 4015,7-8,42.005153,-88.087673
050160540,04,1018,Dwight D Eisenhower JHS,800 Hassell Rd,Hoffman Estates,60169 2656,7-8,42.06299,-88.099226
050160540,04,1019,Margaret Mead JHS,1765 Biesterfield Rd,Elk Grove Village,60007 7072,7-8,42.009626,-88.052658
050160540,04,1020,Helen Keller JHS,820 Bode Rd,Schaumburg,60194 2750,7-8,42.041384,-88.09898
050160540,04,2002,Buzz Aldrin Elem School,617 Boxwood Dr,Schaumburg,60193 2713,K-6,42.014163,-88.096714
050160540,04,2003,Neil Armstrong Elem School,1320 Kingsdale Rd,Hoffman Estates,60169 1217,K-6,42.049802,-88.115754
050160540,04,2005,Campanelli Elem School,310 S Springinsguth Rd,Schaumburg,60193 1209,K-6,42.019633,-88.119318
050160540,04,2006,Winston Churchill Elem School,1520 Jones Rd,Schaumburg,60195 4237,K-6,42.054338,-88.099539
050160540,04,2007,Michael Collins Elem School,407 Summit Dr,Schaumburg,60193 3050,K-6,42.026796,-88.069444
050160540,04,2008,Everett Dirksen Elementary Sch,116 W Beech Dr,Schaumburg,60193 1547,K-6,42.020991,-88.082955
050160540,04,2009,Thomas Dooley Elem School,622 Norwood Ln,Schaumburg,60193 2640,K-6,42.014097,-88.104828
050160540,04,2010,Fairview Elem School,375 Arizona Blvd,Hoffman Estates,60169 1922,K-6,42.039941,-88.071028
050160540,04,2011,Anne Fox Elem School,1035 Parkview Dr,Hanover Park,60133 2637,K-6,42.009216,-88.134562
050160540,04,2013,Hanover Highlands Elem School,1451 Cypress Ave,Hanover Park,60133 3705,K-6,41.998607,-88.140393
050160540,04,2015,Nathan Hale Elem School,1300 W Wise Rd,Schaumburg,60193 3627,K-6,42.004226,-88.113413
050160540,04,2018,Lakeview Elem School,615 Lakeview Ln,Hoffman Estates,60169 3007,K-6,42.039501,-88.093679
050160540,04,2019,MacArthur International Spanish Academy,1800 Chippendale Rd,Hoffman Estates,60169 6947,K-6,42.059924,-88.106584
050160540,04,2022,John Muir Literacy Academy,1973 Kensington Ln,Hoffman Estates,60169 2518,K-6,42.060076,-88.127196
050160540,04,2023,Adolph Link Elem School,900 W Glenn Trl,Elk Grove Village,60007 3025,K-6,42.006688,-88.038424
050160540,04,2026,Albert Einstein Elem School,1100 Laurie Ln,Hanover Park,60133 2343,K-6,42.015567,-88.135565
050160540,04,2027,Hoover Math and Science Academy,315 N Springinsguth Rd,Schaumburg,60194 4063,K-6,42.032901,-88.119134
050160540,04,2028,Adlai Stevenson Elem School,1414 Armstrong Ln,Elk Grove Village,60007 3158,K-6,41.998564,-88.040382
050160540,04,2029,Frederick Nerge Elem School,660 N Woodfield Trl,Roselle,60172 1058,K-6,41.996423,-88.068027
050160540,04,2030,Enders-Salk Elem School,345 N Salem Dr,Schaumburg,60194 4339,K-6,42.032458,-88.100948
050160540,04,2031,Elizabeth Blackwell Elem School,345 N Walnut Ln,Schaumburg,60194 3864,K-6,42.031448,-88.132423
050160540,04,2032,Lincoln Prairie School,500 Hillcrest Blvd,Hoffman Estates,60169 4122,K-8,42.06025,-88.091037
050160540,04,3111,The District 54 Early Learning Center,520 E Schaumburg Rd,Schaumburg,60194 3510,P,42.028036,-88.066098
050160570,02,1004,Lincoln Middle School,700 W Lincoln St,Mt Prospect,60056 3010,6-8,42.059099,-87.946477
050160570,02,2002,Fairview Elem School,300 N Fairview Ave,Mt Prospect,60056 2376,2-5,42.071897,-87.945366
050160570,02,2005,Lions Park Elem School,300 E Council Trl,Mt Prospect,60056 3930,2-5,42.055668,-87.931944
050160570,02,2008,Westbrook Early Learning Cntr,103 S Busse Rd,Mt Prospect,60056 2903,P-1,42.063096,-87.960279
050160590,04,1010,Grove Jr High School,777 W Elk Grove Blvd,Elk Grove Village,60007 4221,6-8,42.008303,-87.993482
050160590,04,1012,Holmes Jr High School,1900 W Lonnquist Blvd,Mt Prospect,60056 3536,"P,6-8",42.051715,-87.965892
050160590,04,1016,Friendship Jr High School,550 Elizabeth Ln,Des Plaines,60018 5573,6-8,42.026991,-87.934365
050160590,04,2001,Brentwood Elem School,260 Dulles Rd,Des Plaines,60016 2723,K-5,42.045012,-87.92717
050160590,04,2002,Adm Richard E Byrd Elem School,265 Wellington Ave,Elk Grove Village,60007 3405,K-5,41.997234,-88.00888
050160590,04,2003,Clearmont Elem School,280 Clearmont Dr,Elk Grove Village,60007 4006,K-5,41.999343,-87.98963
050160590,04,2006,Devonshire School,1401 Pennsylvania Ave,Des Plaines,60018 1120,K-5,42.025718,-87.926351
050160590,04,2008,Forest View Elem School,1901 W Estates Dr,Mt Prospect,60056 3521,K-5,42.05504,-87.966976
050160590,04,2009,Robert Frost Elem School,1308 S Cypress Dr,Mt Prospect,60056 5004,K-5,42.042891,-87.953142
050160590,04,2014,John Jay Elem School,1835 W Pheasant Trl,Mt Prospect,60056 4556,K-5,42.041633,-87.96576
050160590,04,2016,Juliette Low Elem School,1530 S Highland Ave,Arlington Heights,60005 3630,K-5,42.055653,-87.986701
050160590,04,2018,Rupley Elem School,305 Oakton St,Elk Grove Village,60007 1727,K-5,42.021945,-87.986088
050160590,04,2019,Salt Creek Elem School,65 Jf Kennedy Blvd,Elk Grove Village,60007 3629,K-5,42.00369,-87.99991
050160590,04,2020,Ridge Family Center for Learning,650 Ridge Ave,Elk Grove Village,60007 4229,K-5,42.010721,-87.989431
050160620,04,1001,Algonquin Middle School,767 E Algonquin Rd,Des Plaines,60016 6251,6-8,42.03072,-87.904883
050160620,04,1003,Chippewa Middle School,123 N 8th Ave,Des Plaines,60016 2145,6-8,42.057793,-87.909039
050160620,04,2001,Iroquois Community School,1836 E Touhy Ave,Des Plaines,60018 3629,K-8,42.008268,-87.938222
050160620,04,2002,Central Elem School,1526 E Thacker St,Des Plaines,60016 6432,K-5,42.037446,-87.886637
050160620,04,2004,Cumberland Elem School,700 E Golf Rd,Des Plaines,60016 2311,K-5,42.053981,-87.906599
050160620,04,2005,Forest Elem School,1375 S 5th Ave,Des Plaines,60018 1430,P-5,42.027559,-87.906448
050160620,04,2008,North Elementary School,1789 Rand Rd,Des Plaines,60016 3509,K-5,42.044665,-87.879074
050160620,04,2009,Orchard Place Elem School,2727 Maple St,Des Plaines,60018 3843,K-5,42.004117,-87.879483
050160620,04,2010,Plainfield Elem School,1850 Plainfield Dr,Des Plaines,60018 2053,K-5,42.018662,-87.901808
050160620,04,2011,South Elem School,1535 Everett Ave,Des Plaines,60018 2318,K-5,42.020409,-87.886122
050160620,04,2012,Terrace Elem School,735 S Westgate Rd,Des Plaines,60016 2951,K-5,42.040004,-87.918474
050160630,02,1003,Gemini Jr High School,8955 N Greenwood Ave,Niles,60714 1416,7-8,42.042852,-87.840363
050160630,02,2006,V H Nelson Elem School,8901 N Ozanam Ave,Niles,60714 1711,K-6,42.042057,-87.820833
050160630,02,2008,Stevenson School,9000 Capitol Dr,Des Plaines,60016 5007,K-6,42.043239,-87.85186
050160630,02,2009,Mark Twain Elem School,9401 N Hamlin Ave,Niles,60714 5869,K-6,42.050479,-87.850217
050160630,02,2010,Washington Elem School,2710 Golf Rd,Glenview,60025 4669,K-6,42.054961,-87.828504
050160630,02,2011,Melzer School,9400 Oriole Ave,Morton Grove,60053 1008,P-6,42.052192,-87.815843
050160630,02,2012,Apollo Elem School,10100 Dee Rd,Des Plaines,60016 1512,P-6,42.065168,-87.856653
050160640,04,1006,Emerson Middle School,8101 N Cumberland Ave,Niles,60714 2736,6-8,42.027064,-87.835796
050160640,04,1007,Lincoln Middle School,200 S Lincoln Ave,Park Ridge,60068 3812,6-8,42.008482,-87.8433
050160640,04,2001,George B Carpenter Elem School,300 N Hamlin Ave,Park Ridge,60068 2924,K-5,42.014408,-87.850416
050160640,04,2004,Eugene Field Elem School,707 Wisner St,Park Ridge,60068 2708,K-5,42.020117,-87.824521
050160640,04,2005,Franklin Elementary School,2401 Manor Ln,Park Ridge,60068 1559,K-5,42.032059,-87.856702
050160640,04,2011,Theodore Roosevelt Elem School,1001 S Fairview Ave,Park Ridge,60068 4712,K-5,41.999686,-87.834358
050160640,04,2012,George Washington Elem School,1500 Stewart Ave,Park Ridge,60068 3867,K-5,42.005166,-87.84561
050160640,04,3001,Jefferson School,8200 W Greendale Ave,Niles,60714 2713,P,42.027642,-87.830316
050160650,04,1002,Chute Middle School,1400 Oakton St,Evanston,60202 2721,6-8,42.026562,-87.692032
050160650,04,1007,Haven Middle School,2417 Prairie Ave,Evanston,60201 2214,6-8,42.061863,-87.69859
050160650,04,1012,Nichols Middle School,800 Greenleaf St,Evanston,60202 1334,6-8,42.037729,-87.682125
050160650,04,2004,Dawes Elementary School,440 Dodge Ave,Evanston,60202 3254,K-5,42.025013,-87.699643
050160650,04,2005,Dewey Elem School,1551 Wesley Ave,Evanston,60201 4121,K-5,42.045486,-87.69202
050160650,04,2009,Lincoln Elem School,910 Forest Ave,Evanston,60202 1474,K-5,42.034065,-87.674925
050160650,04,2010,Lincolnwood Elem School,2600 Colfax St,Evanston,60201 2107,K-5,42.06064,-87.709212
050160650,04,2014,Oakton Elem School,436 Ridge Ave,Evanston,60202 2861,K-5,42.025791,-87.685502
050160650,04,2015,Orrington Elem School,2636 Orrington Ave,Evanston,60201 1761,K-5,42.065349,-87.679638
050160650,04,2019,Walker Elem School,3601 Church St,Evanston,60203 1605,K-5,42.048263,-87.717985
050160650,04,2020,Washington Elem School,914 Ashland Ave,Evanston,60202 1606,K-5,42.034737,-87.69305
050160650,04,2021,Willard Elem School,2700 Hurd Ave,Evanston,60201 1268,K-5,42.066551,-87.716541
050160650,04,2022,Dr ML King Jr Literary & Fine Arts Sch,2424 Lake St,Evanston,60201 3932,K-8,42.043918,-87.707195
050160650,04,2023,Kingsley Elementary School,2300 Green Bay Rd,Evanston,60201 2229,K-5,42.059478,-87.694604
050160650,04,2024,Dr Bessie Rhodes Sch Global Studies,3701 Davis St,Skokie,60076 1744,K-8,42.046415,-87.720551
050160650,04,3017,Rice Childrens Center,1101 Washington St,Evanston,60202 1619,3-8,42.032662,-87.686493
050160650,04,3020,Joseph E Hill Education Center,1500 McDaniel Ave,Evanston,60201 3976,P,42.046552,-87.708336
050160670,02,1002,Golf Middle School,9401 Waukegan Rd,Morton Grove,60053 1353,5-8,42.051785,-87.799458
050160670,02,2003,Hynes Elem School,9000 Belleforte Ave,Morton Grove,60053 2019,P-4,42.046614,-87.80342
050160680,02,1002,Old Orchard Jr High School,9310 Kenton Ave,Skokie,60076 1336,"P,6-8",42.053166,-87.742274
050160680,02,2001,Devonshire Elem School,9040 Kostner Ave,Skokie,60076 1657,K-5,42.045054,-87.737497
050160680,02,2004,Jane Stenson School,9201 Lockwood Ave,Skokie,60077 1137,K-5,42.047949,-87.759098
050160680,02,2005,Highland Elementary School,9700 Crawford Ave,Skokie,60076 1106,K-5,42.057212,-87.727442
050160690,02,1003,Lincoln Jr High School,7839 Lincoln Ave,Skokie,60077 3640,6-8,42.023644,-87.754109
050160690,02,2001,Thomas Edison Elem School,8200 Gross Point Rd,Morton Grove,60053 3534,3-5,42.030167,-87.764555
050160690,02,2004,Madison Elem School,5100 Madison St,Skokie,60077 2554,P-2,42.032097,-87.754929
050160700,02,2003,Park View Elem School,6200 Lake St,Morton Grove,60053 2416,P-8,42.041053,-87.783636
050160710,02,2001,Clarence E Culver School,6901 W Oakton St,Niles,60714 3024,P-8,42.02624,-87.800488
050160720,02,2002,Fairview South Elementary School,7040 Laramie Ave,Skokie,60077 3443,P-8,42.009179,-87.757884
050160730,02,2001,East Prairie Elem School,3907 Dobson St,Skokie,60076 3718,P-8,42.01976,-87.726636
050160735,02,1003,Oliver McCracken Middle School,8000 E Prairie Rd,Skokie,60076 3402,6-8,42.026421,-87.725763
050160735,02,2002,John Middleton Elem School,8300 Saint Louis Ave,Skokie,60076 2930,1-5,41.626371,-87.705614
050160735,02,2003,Elizabeth Meyer School,8100 Tripp Ave,Skokie,60076 3250,"P,K",42.028214,-87.734172
050160740,02,1001,Lincoln Hall Middle School,6855 N Crawford Ave,Lincolnwood,60712 4601,6-8,42.00545,-87.728567
050160740,02,2003,Rutledge Hall Elem School,6850 N East Prairie Rd,Lincolnwood,60712 2547,3-5,42.004729,-87.726162
050160740,02,2004,Todd Hall Elem School,3925 W Lunt Ave,Lincolnwood,60712 2548,P-2,42.008273,-87.726729
050162020,17,0001,Evanston Twp High School,1600 Dodge Ave,Evanston,60201 3449,9-12,42.047188,-87.699017
050162030,17,0001,New Trier Township H S Winnetka,385 Winnetka Ave,Winnetka,60093 4238,10-12,42.093706,-87.71913
050162030,17,0002,New Trier Township H S Northfield,7 Happ Rd,Northfield,60093 3411,9,42.086518,-87.766153
050162070,17,0001,Maine East High School,2601 Dempster St,Park Ridge,60068 1155,9-12,42.03961,-87.848702
050162070,17,0003,Maine South High School,1111 S Dee Rd,Park Ridge,60068 4379,9-12,42.001089,-87.854733
050162070,17,0004,Maine West High School,1755 S Wolf Rd,Des Plaines,60018 1923,9-12,42.020588,-87.908849
050162070,17,3002,Ralph J Frost Academy,1177 S Dee Rd,Park Ridge,60068 4379,9-12,42.000907,-87.854855
050162110,17,0001,J B Conant High School,700 E Cougar Trl,Hoffman Estates,60169 3659,9-12,42.035666,-88.062673
050162110,17,0002,Wm Fremd High School,1000 S Quentin Rd,Palatine,60067 7018,9-12,42.092141,-88.063283
050162110,17,0003,Palatine High School,1111 N Rohlwing Rd,Palatine,60074 3777,9-12,42.130367,-88.02392
050162110,17,0004,Schaumburg High School,1100 W Schaumburg Rd,Schaumburg,60194 4150,9-12,42.028638,-88.05297
050162110,17,0006,Hoffman Estates High School,1100 W Higgins Rd,Hoffman Estates,60169 4050,9-12,42.051565,-88.107562
050162110,17,3001,Higgins Education Center,1100 W Higgins Rd,Hoffman Estates,60169 4050,9-12,42.051565,-88.107562
050162110,17,3002,District 211 Academy - North,335 E Illinois Ave,Palatine,60067 7132,9-12,42.095614,-88.035675
050162140,17,0002,Elk Grove High School,500 W Elk Grove Blvd,Elk Grove Village,60007 4272,9-12,42.012988,-87.99749
050162140,17,0004,John Hersey High School,1900 E Thomas St,Arlington Heights,60004 4320,9-12,42.102521,-87.960019
050162140,17,0005,Prospect High School,801 W Kensington Rd,Mt Prospect,60056 1112,9-12,42.080954,-87.946492
050162140,17,0006,Wheeling High School,900 S Elmhurst Rd,Wheeling,60090 5507,9-12,42.14285,-87.936425
050162140,17,0007,Rolling Meadows High School,2901 Central Rd,Rolling Meadows,60008 2536,9-12,42.066551,-88.017175
050162140,17,0008,Buffalo Grove High School,1100 W Dundee Rd,Buffalo Grove,60089 4054,9-12,42.138955,-87.982761
050162140,17,3001,The Academy at Forest View,2121 S Goebbert Rd,Arlington Heights,60005 4205,9-12,42.047102,-87.974737
050162140,17,3004,Young Adult Program,2901 Central Rd,Rolling Meadows,60008 2536,10-12,42.066551,-88.017175
050162140,17,3005,Vanguard School,2121 S Goebbert Rd,Arlington Heights,60005 4205,9-12,42.047102,-87.974737
050162140,17,3006,Newcomer Center,2121 S Goebbert Rd,Arlington Heights,60005 4205,9-11,42.047102,-87.974737
050162140,17,3007,Sigwalt CLS Center,2702 Sigwalt St,Rolling Meadows,60008 1741,12,42.082842,-88.014498
050162190,17,0002,Niles North High School,9800 Lawler Ave,Skokie,60077 1215,9-12,42.061151,-87.752887
050162190,17,0003,Niles West High School,5701 Oakton St,Skokie,60077 2630,9-12,42.026585,-87.768808
050162190,17,3001,Niles Central,7700 Gross Point Rd,Skokie,60077 2614,9-12,42.019391,-87.775555
050162250,17,0001,Glenbrook North High School,2300 Shermer Rd,Northbrook,60062 6722,9-12,42.110914,-87.829534
050162250,17,0002,Glenbrook South High School,4000 W Lake Ave,Glenview,60026 1239,9-12,42.08742,-87.853214
050162250,17,3001,Glenbrook Evening High School,4000 W Lake Ave,Glenview,60026 1239,9-12,42.08742,-87.853214
050162250,17,3002,Glenbrook Off-Campus Center,1835 Landwehr Rd,Glenview,60026 1241,9-12,42.091465,-87.858937
060160780,02,2001,Rosemont Elem School,6101 Ruby St,Rosemont,60018 4450,P-8,41.989586,-87.871005
060160790,02,2001,Pennoyer Elem School,5200 N Cumberland Ave,Norridge,60706 1499,P-8,41.974016,-87.836635
060160800,02,2001,J Giles Elem School,4251 N Oriole Ave,Norridge,60706 1144,P-8,41.95708,-87.816899
060160800,02,2002,J Leigh Elem School,8151 W Lawrence Ave,Norridge,60706 3136,P-8,41.966547,-87.831303
060160810,02,1001,Lincoln Middle School,9750 Soreng Ave,Schiller Park,60176 2105,6-8,41.951343,-87.869673
060160810,02,2001,John F Kennedy Elem School,3945 Wehrman Ave,Schiller Park,60176 1814,P-3,41.949588,-87.878109
060160810,02,2003,Washington Elem School,4835 Michigan Ave,Schiller Park,60176 1111,4-5,41.966947,-87.868403
060160830,02,1003,Mannheim Middle School,2600 Hyde Park Ave,Melrose Park,60164 1536,6-8,41.925675,-87.886932
060160830,02,2002,Scott Elementary School,2250 Scott St,Melrose Park,60164 2008,K-5,41.919651,-87.874647
060160830,02,2004,Roy Elem School,533 N Roy Ave,Northlake,60164 1762,K-5,41.919726,-87.898707
060160830,02,2005,Westdale Elem School,99 Diversey Ave,Northlake,60164 1401,K-5,41.929003,-87.903151
